,player_name,position,player_url,position_rank
9,Cody Latimer,WR,https://sports.yahoo.com/nfl/players/27584,392
10,Marcell Ateman,WR,https://sports.yahoo.com/nfl/players/31198,399
11,Richie James,WR,https://sports.yahoo.com/nfl/players/31210,403
12,Dan Arnold,WR,https://sports.yahoo.com/nfl/players/30891,404
13,Alex Erickson,WR,https://sports.yahoo.com/nfl/players/29703,405
14,Josh Bellamy,WR,https://sports.yahoo.com/nfl/players/26108,407
15,Austin Carr,WR,https://sports.yahoo.com/nfl/players/30656,409
16,Marvin Hall,WR,https://sports.yahoo.com/nfl/players/30023,411
17,Brandon Marshall,WR,https://sports.yahoo.com/nfl/players/7868,412
18,Deonte Thompson,WR,https://sports.yahoo.com/nfl/players/26456,414
19,Michael Floyd,WR,https://sports.yahoo.com/nfl/players/25723,417
20,Andre Holmes,WR,https://sports.yahoo.com/nfl/players/25234,418
21,Darius Jennings,WR,https://sports.yahoo.com/nfl/players/29038,419
22,DJ Chark,WR,https://sports.yahoo.com/nfl/players/31031,420
23,Damion Ratley,WR,https://sports.yahoo.com/nfl/players/31148,422
24,Jake Kumerow,WR,https://sports.yahoo.com/nfl/players/28974,425
0,Cameron Meredith,WR,https://sports.yahoo.com/nfl/players/28697,427
1,Andy Jones,WR,https://sports.yahoo.com/nfl/players/29893,431
2,Deontay Burnett,WR,https://sports.yahoo.com/nfl/players/31624,433
3,Marcus Johnson,WR,https://sports.yahoo.com/nfl/players/29678,435
4,Brandon Powell,WR,https://sports.yahoo.com/nfl/players/31641,436
5,Trey Quinn,WR,https://sports.yahoo.com/nfl/players/31226,438
6,Leonte Carroo,WR,https://sports.yahoo.com/nfl/players/29320,439
7,Vyncint Smith,WR,https://sports.yahoo.com/nfl/players/31588,441
8,Eli Rogers,WR,https://sports.yahoo.com/nfl/players/28669,451
9,Brice Butler,WR,https://sports.yahoo.com/nfl/players/26832,457
10,Dwayne Harris,WR,https://sports.yahoo.com/nfl/players/24963,463
11,Tommylee Lewis,WR,https://sports.yahoo.com/nfl/players/29854,469
12,Cameron Batson,WR,https://sports.yahoo.com/nfl/players/31623,472
13,Kevin White,WR,https://sports.yahoo.com/nfl/players/28395,479
14,De'Anthony Thomas,WR,https://sports.yahoo.com/nfl/players/27652,481
15,Corey Coleman,WR,https://sports.yahoo.com/nfl/players/29249,488
16,J.J. Nelson,WR,https://sports.yahoo.com/nfl/players/28547,490
17,Russell Gage,WR,https://sports.yahoo.com/nfl/players/31164,493
18,Kamar Aiken,WR,https://sports.yahoo.com/nfl/players/25379,498
19,Noah Brown,WR,https://sports.yahoo.com/nfl/players/30352,502
20,Derrick Willies,WR,https://sports.yahoo.com/nfl/players/31462,506
21,Bobo Wilson,WR,https://sports.yahoo.com/nfl/players/30481,510
22,Rashad Greene Sr.,WR,https://sports.yahoo.com/nfl/players/28527,514
23,Jawill Davis,WR,https://sports.yahoo.com/nfl/players/31551,520
24,Chad Beebe,WR,https://sports.yahoo.com/nfl/players/31508,522
0,Auden Tate,WR,https://sports.yahoo.com/nfl/players/31223,527
1,Shelton Gibson,WR,https://sports.yahoo.com/nfl/players/30279,530
2,Javon Wims,WR,https://sports.yahoo.com/nfl/players/31194,532
3,Jalen Tolliver,WR,https://sports.yahoo.com/nfl/players/31322,533
4,Rishard Matthews,WR,https://sports.yahoo.com/nfl/players/25937,535
5,Ray-Ray McCloud III,WR,https://sports.yahoo.com/nfl/players/31157,541
6,Justin Hunter,WR,https://sports.yahoo.com/nfl/players/26657,545
7,Charone Peake,WR,https://sports.yahoo.com/nfl/players/29475,548
8,Brian Quick,WR,https://sports.yahoo.com/nfl/players/25743,552
9,Malik Turner,WR,https://sports.yahoo.com/nfl/players/31777,555
