player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort
Marquez Valdes-Scantling,https://sports.yahoo.com/nfl/players/31144,WR,$5 Waiver,,Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Sep 20, 3:26 am",0,5,"Marquez Valdes-ScantlingRockin a ChubbSep 20, 3:26 am5"
Washington,https://sports.yahoo.com/nfl/teams/washington/,DEF,$1 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Sep 18, 4:52 am",0,1,"WashingtonTurnUrHead&GoffSep 18, 4:52 am1"
Vance McDonald,https://sports.yahoo.com/nfl/players/26678,TE,$3 Waiver,,Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Sep 18, 4:52 am",0,3,"Vance McDonaldRockin a ChubbSep 18, 4:52 am3"
Tampa Bay,https://sports.yahoo.com/nfl/teams/tampa-bay/,DEF,$4 Waiver,,WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Sep 18, 4:52 am",0,4,"Tampa BayWeEatinGOODSep 18, 4:52 am4"
Jaylen Samuels,https://sports.yahoo.com/nfl/players/31135,RB,$9 Waiver,,WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Sep 18, 4:52 am",0,9,"Jaylen SamuelsWeEatinGOODSep 18, 4:52 am9"
Daniel Jones,https://sports.yahoo.com/nfl/players/31838,QB,$14 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 18, 4:52 am",0,14,"Daniel JonesMAGA CrackerSep 18, 4:52 am14"
Deebo Samuel,https://sports.yahoo.com/nfl/players/31868,WR,$14 Waiver,,Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Sep 18, 4:52 am",0,14,"Deebo SamuelTalented Mr. RidleySep 18, 4:52 am14"
Alexander Mattison,https://sports.yahoo.com/nfl/players/31934,RB,$2 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Sep 15, 3:24 am",0,2,"Alexander MattisonTurnUrHead&GoffSep 15, 3:24 am2"
Sterling Shepard,https://sports.yahoo.com/nfl/players/29274,WR,$6 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 13, 3:24 am",0,6,"Sterling ShepardMarquez Exxon ValdezSep 13, 3:24 am6"
Giovani Bernard,https://sports.yahoo.com/nfl/players/26660,RB,$2 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 11, 4:53 am",0,2,"Giovani BernardMAGA CrackerSep 11, 4:53 am2"
