,player_name,position,player_url,score
6,Charlie Jones,WR,https://sports.yahoo.com/nfl/players/40158,18.8
7,Laviska Shenault Jr.,WR,https://sports.yahoo.com/nfl/players/32712,18.0
8,Richie James,WR,https://sports.yahoo.com/nfl/players/31210,17.25
9,Sterling Shepard,WR,https://sports.yahoo.com/nfl/players/29274,16.73
10,Tim Jones,WR,https://sports.yahoo.com/nfl/players/33649,15.88
11,Jason Brownlee,WR,https://sports.yahoo.com/nfl/players/40545,15.5
12,Randall Cobb,WR,https://sports.yahoo.com/nfl/players/24851,15.38
13,D.J. Montgomery,WR,https://sports.yahoo.com/nfl/players/32283,14.5
14,Samori Toure,WR,https://sports.yahoo.com/nfl/players/34214,13.75
15,Marquise Goodwin,WR,https://sports.yahoo.com/nfl/players/26701,13.68
16,Isaiah McKenzie,WR,https://sports.yahoo.com/nfl/players/30285,13.15
17,Keith Kirkwood,WR,https://sports.yahoo.com/nfl/players/31517,13.13
18,Jalen Brooks,WR,https://sports.yahoo.com/nfl/players/40257,11.0
19,Equanimeous St. Brown,WR,https://sports.yahoo.com/nfl/players/31177,10.25
20,Chris Conley,WR,https://sports.yahoo.com/nfl/players/28464,10.13
21,Justyn Ross,WR,https://sports.yahoo.com/nfl/players/34440,9.63
22,Velus Jones Jr.,WR,https://sports.yahoo.com/nfl/players/34027,9.6
23,Rakim Jarrett,WR,https://sports.yahoo.com/nfl/players/40671,9.5
24,DeAndre Carter,WR,https://sports.yahoo.com/nfl/players/28947,8.68
0,Ty Montgomery II,WR,https://sports.yahoo.com/nfl/players/28482,8.4
1,Tyler Johnson,WR,https://sports.yahoo.com/nfl/players/32831,8.0
2,Tylan Wallace,WR,https://sports.yahoo.com/nfl/players/33519,7.88
3,Simi Fehoko,WR,https://sports.yahoo.com/nfl/players/33567,7.63
4,Britain Covey,WR,https://sports.yahoo.com/nfl/players/34378,7.25
5,Keelan Doss,WR,https://sports.yahoo.com/nfl/players/32342,7.13
6,Elijah Cooks,WR,https://sports.yahoo.com/nfl/players/40374,6.25
7,Mike Strachan,WR,https://sports.yahoo.com/nfl/players/33620,6.13
8,Devin Duvernay,WR,https://sports.yahoo.com/nfl/players/32762,5.75
9,Jalen Nailor,WR,https://sports.yahoo.com/nfl/players/34147,5.13
10,Marvin Jones Jr.,WR,https://sports.yahoo.com/nfl/players/25876,4.88
11,Steven Sims,WR,https://sports.yahoo.com/nfl/players/32187,4.73
12,Zach Pascal,WR,https://sports.yahoo.com/nfl/players/30502,4.38
13,Trishton Jackson,WR,https://sports.yahoo.com/nfl/players/33253,4.13
