,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
0,QB,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,T. Tebow ,https://sports.yahoo.com/nfl/players/24000,14.18,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
1,WR,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,M. Wallace ,https://sports.yahoo.com/nfl/players/9348,7.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
2,WR,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,D. McCluster ,https://sports.yahoo.com/nfl/players/24011,0.80,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
3,WR,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,S. Rice ,https://sports.yahoo.com/nfl/players/8298,10.20,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
4,RB,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,R. Mendenhall ,https://sports.yahoo.com/nfl/players/8800,9.20,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
5,RB,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,F. Gore ,https://sports.yahoo.com/nfl/players/7241,19.40,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
6,TE,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,9.40,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
7,K,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,A. Vinatieri ,https://sports.yahoo.com/nfl/players/3727,4.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
8,DEF,1,2,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=8&mid1=1&mid2=2,Kansas City  - DEF ,https://sports.yahoo.com/nfl/teams/kansas-city/,12.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
0,QB,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,T. Brady ,https://sports.yahoo.com/nfl/players/5228,18.18,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
1,WR,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,M. Wallace ,https://sports.yahoo.com/nfl/players/9348,10.80,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
2,WR,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,S. Holmes ,https://sports.yahoo.com/nfl/players/7774,8.90,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
3,WR,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,R. White ,https://sports.yahoo.com/nfl/players/7203,7.60,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
4,RB,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,F. Gore ,https://sports.yahoo.com/nfl/players/7241,11.40,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
5,RB,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,M. Bush ,https://sports.yahoo.com/nfl/players/8354,18.90,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
6,TE,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,16.10,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
7,K,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,A. Henery ,https://sports.yahoo.com/nfl/players/24907,7.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
8,DEF,1,3,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=9&mid1=1&mid2=3,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,13.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
0,QB,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,T. Tebow ,https://sports.yahoo.com/nfl/players/24000,17.06,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
1,WR,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,M. Wallace ,https://sports.yahoo.com/nfl/players/9348,8.50,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
2,WR,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,S. Holmes ,https://sports.yahoo.com/nfl/players/7774,9.30,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
3,WR,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,R. White ,https://sports.yahoo.com/nfl/players/7203,6.20,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
4,RB,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,M. Bush ,https://sports.yahoo.com/nfl/players/8354,30.20,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
5,RB,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,R. Mendenhall ,https://sports.yahoo.com/nfl/players/8800,19.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
6,TE,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,23.30,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
7,K,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,A. Henery ,https://sports.yahoo.com/nfl/players/24907,5.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
8,DEF,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=10&mid1=1&mid2=4,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,0.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
0,QB,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,T. Brady ,https://sports.yahoo.com/nfl/players/5228,16.36,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
1,WR,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,S. Holmes ,https://sports.yahoo.com/nfl/players/7774,3.90,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
2,WR,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,R. White ,https://sports.yahoo.com/nfl/players/7203,14.70,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
3,WR,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,D. McCluster ,https://sports.yahoo.com/nfl/players/24011,4.80,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
4,RB,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,M. Bush ,https://sports.yahoo.com/nfl/players/8354,16.90,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
5,RB,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,F. Gore ,https://sports.yahoo.com/nfl/players/7241,9.40,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
6,TE,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,21.60,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
7,K,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,S. Gostkowski ,https://sports.yahoo.com/nfl/players/7867,10.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
8,DEF,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=11&mid1=1&mid2=5,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,4.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
0,QB,1,6,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=12&mid1=1&mid2=6,T. Brady ,https://sports.yahoo.com/nfl/players/5228,29.24,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
